stream,site_code,site_name,UTM_E,UTM_N,year,month,temperature_C
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2001,11,3.5500000000000114
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2001,12,-0.049999999999954525
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2002,1,-0.24999999999994316
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2002,2,5.550000000000011
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2002,3,6.250000000000057
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2002,4,8.950000000000045
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2002,5,13.950000000000045
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2002,6,18.350000000000023
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2002,7,18.05000000000001
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2002,8,19.05000000000001
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2002,9,13.450000000000045
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2002,10,9.050000000000011
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2002,11,6.850000000000023
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2002,12,1.8500000000000227
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2003,1,0.1500000000000341
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2003,2,-0.8499999999999659
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2003,3,7.050000000000011
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2003,4,9.650000000000034
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2003,5,15.050000000000011
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2003,6,20.950000000000045
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2003,7,20.250000000000057
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2003,8,23.150000000000034
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2003,9,15.150000000000034
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2003,10,6.750000000000057
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2003,11,6.350000000000023
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2003,12,1.7500000000000568
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2004,1,0.7500000000000568
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2004,2,3.0500000000000114
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2004,3,4.750000000000057
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2004,4,10.250000000000057
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2004,5,12.150000000000034
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2004,6,16.350000000000023
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2004,7,17.55000000000001
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2004,8,19.150000000000034
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2004,9,14.650000000000034
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2004,10,10.450000000000045
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2004,11,4.350000000000023
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2004,12,0.1500000000000341
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2005,1,2.250000000000057
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2005,2,-0.44999999999998863
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2005,3,5.250000000000057
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2005,4,10.350000000000023
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2005,5,13.450000000000045
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2005,6,17.650000000000034
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2005,7,19.05000000000001
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2005,8,16.850000000000023
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2005,9,16.450000000000045
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2005,10,11.550000000000011
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2005,11,4.350000000000023
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2005,12,0.9500000000000455
Bieber,Bieb,oh. Rossbach,9.3051018,50.1617954,2006,1,-1.849999999999966
